QID1_QuestionText	<p>This voluntary survey is part of a research study led by the Delphi group at Carnegie Mellon University. Even if you are healthy, your responses may contribute to a better public health understanding of where the coronavirus pandemic is moving, to improve our local and national responses.&nbsp;</p><br>The data captured does not include any personally identifiable information about you and your answers to all questions will remain confidential. Published results will be in aggregate and will not identify individual participants or their responses.&nbsp; This study is not conducted by Facebook and no individual responses will be shared back to Facebook.&nbsp; The only information we receive from Facebook is a random ID number and a statistical number that help us weigh participation properly.&nbsp; Your responses may be shared with other public health researchers, including those at the University of Maryland. There are no foreseeable risks in participating and no compensation is offered.<div><br>If you have any questions, contact: delphi-admin-survey-fb@lists.andrew.cmu.edu&nbsp;</div><div><br>You must be 18 years or older to take this survey. Are you 18 years or older and currently located in the US?</div>
QID1_Choice1	Yes
QID1_Choice2	No
QID3_QuestionText	<div>In the past 24 hours, have <strong>you or anyone in your household</strong> experienced any of the following:</div>
QID3_Choice1	Fever (37.8°C or higher)
QID3_Choice2	Sore throat
QID3_Choice3	Cough
QID3_Choice4	Shortness of breath
QID3_Choice5	Difficulty breathing
QID3_Answer1	Yes
QID3_Answer2	No
QID4_QuestionText	<div>How many people in your household <b>(including&amp;nbspyourself)</b> are <b>ill</b> (<b>fever</b>, along with <b>at least one other symptom</b> from the above list)?</div>
QID5_QuestionText	How many people are there in your household <b>in total (including yourself)</b>?
QID6_QuestionText	<p>What is your current postal code?</p>
QID45_QuestionText	How many <b>additional</b> people in your local community, who you know personally, are <b>ill</b> (<b>fever</b>, along with <b>at least one other symptom</b> from the above list)?
QID39_QuestionText	<i>The rest of the survey will go into more detail to get a better understanding of your personal experience.</i><p></p><p><br></p><p><b>In the past 24 hours</b>, have <b>you personally</b> experienced any of the following symptoms?  (Select all that apply.)</p>
QID39_Choice1	Fever
QID39_Choice2	Cough
QID39_Choice3	Shortness of breath
QID39_Choice4	Difficulty breathing
QID39_Choice5	Tiredness or exhaustion
QID39_Choice6	Nasal congestion
QID39_Choice7	Runny nose
QID39_Choice8	Muscle or joint aches
QID39_Choice9	Sore throat
QID39_Choice10	Persistent pain or pressure in your chest
QID39_Choice11	Nausea or vomiting
QID39_Choice12	Diarrhoea
QID39_Choice13	Loss of smell or taste
QID39_Choice14	Other (please specify):
QID39_Choice15	None of the above
QID39_Choice16	Eye pain
QID11_QuestionText	How long, in days, have you been experiencing these symptoms for?
QID12_QuestionText	You mentioned that you had a fever <b>in the past 24 hours</b>.  Have you taken your temperature?
QID12_Choice1	Yes
QID12_Choice2	No
QID42_QuestionText	<div>What was your highest temperature, in °C?</div>
QID13_QuestionText	You mentioned that you experienced a cough <b>in the past 24 hours</b>.  Did you cough up mucus?
QID13_Choice1	Yes, I had a lot of mucus
QID13_Choice2	        ➙Yes, I had a little mucus
QID13_Choice3	No, I had a dry cough
QID14_QuestionText	Have you been tested for COVID-19 (coronavirus) for your current illness?
QID14_Choice1	Yes, I was tested and received a positive diagnosis for COVID-19
QID14_Choice2	Yes, I was tested, but it was negative for COVID-19
QID14_Choice3	Yes, I was tested, but have not received the result
QID14_Choice4	No, I tried to get tested but could not get a test
QID14_Choice5	No, I have not tried to get tested
QID15_QuestionText	<b>In the past 24 hours</b>, have you been to the hospital to seek care for your current illness?
QID15_Choice1	Yes
QID15_Choice2	➙No
QID15_Choice3	I have tried, but been unable to receive care
