QID1_QuestionText	<p>Esta encuesta voluntaria es parte de un estudio de investigación dirigido por el grupo Delphi en la Universidad Carnegie Mellon. Incluso si te encuentras bien, tus respuestas pueden contribuir a la salud pública, ya que permitirán entender mejor hacia dónde se desplaza la pandemia de coronavirus, a fin de optimizar nuestras respuestas locales y nacionales. </p><br>Los datos recopilados no incluyen información de identificación personal sobre ti, y tus respuestas a todas las preguntas serán confidenciales. Los resultados se publicarán en conjunto y no servirán para identificar a los participantes individuales ni sus respuestas.  Facebook no se encarga de realizar este estudio, por lo que no compartiremos con esta empresa las respuestas individuales.  La única información que recibimos de Facebook es un número de identificación aleatorio y una cifra estadística que nos permite ponderar la participación de forma adecuada.  Tus respuestas se pueden compartir con otros investigadores del ámbito de la salud pública, incluidos los que desempeñan sus funciones en la Universidad de Maryland. No se prevén riesgos ni se ofrece compensación alguna por participar en este estudio.<div><br>Si tienes preguntas, ponte en contacto con delphi-admin-survey-fb@lists.andrew.cmu.edu. </div><div><br>Debes ser mayor de 18 años y residir en Estados Unidos actualmente para poder realizar esta encuesta. ¿Eres mayor de 18 años y resides actualmente en Estados Unidos?</div>
QID1_Choice1	Sí
QID1_Choice2	No
QID3_QuestionText	<div>En las últimas 24 horas, ¿<strong>tú o alguna persona en tu hogar</strong> tuvo alguno de los siguientes síntomas?</div>
QID3_Choice1	Fiebre (100 °F o más)
QID3_Choice2	Dolor de garganta
QID3_Choice3	Tos
QID3_Choice4	Falta de aliento
QID3_Choice5	Dificultad para respirar
QID3_Answer1	Sí
QID3_Answer2	No
QID4_QuestionText	<div>¿Cuántas personas en tu hogar <b>(contándote a ti)</b> están <b>enfermas</b> (tienen <b>fiebre</b> y <b>al menos un otro síntoma</b> de los que se enumeran arriba)?</div>
QID5_QuestionText	¿Cuántas personas viven en tu hogar <b>en total (contándote a ti)</b>?
QID6_QuestionText	<p>¿Cuál es tu código postal actualmente?</p>
QID45_QuestionText	¿Cuántas personas <b>más</b> de tu comunidad local que conoces personalmente están <b>enfermas</b> (tienen <b>fiebre</b> y <b>al menos un otro síntoma</b> de los que se enumeran arriba)?
QID39_QuestionText	<i>En el resto de la encuesta te haremos preguntas más detalladas para comprender mejor tu experiencia personal.</i><p></p><p><br></p><p><b>En las últimas 24 horas</b>, ¿<b>tú personalmente</b> experimentaste alguno de los siguientes síntomas?  Selecciona todas las opciones que correspondan.</p>
QID39_Choice1	Fiebre
