QID1_QuestionText	<p>Basé sur le volontariat, ce sondage entre dans le cadre d’une étude menée par le groupe Delphi à l’université Carnegie Mellon. Même si vous êtes en bonne santé, vos réponses peuvent aider les autorités sanitaires à mieux comprendre l’évolution de la pandémie de coronavirus, afin d’améliorer les interventions locales et nationales. </p><br>Les données recueillies ne comprennent aucune information personnelle identifiable vous concernant et vos réponses à toutes les questions restent confidentielles. Les résultats publiés seront agrégés et ne permettront d’identifier ni les participants ni leurs réponses.  Facebook n’est pas à l’origine de ce sondage et aucune réponse individuelle ne lui sera transmise.  Les seules informations que Facebook recevra seront un identifiant aléatoire et des statistiques permettant d’évaluer correctement la participation.  Vos réponses seront partagées avec d’autres chercheurs de santé publique, notamment de l’université du Maryland. Vous ne courrez aucun risque en participant et votre contribution n’est pas rémunérée.<div><br>Si vous avez des questions, veuillez contacter delphi-admin-survey-fb@lists.andrew.cmu.edu </div><div><br>Vous devez être âgé(e) d’au moins 18 ans et résider actuellement aux États-Unis pour participer à ce sondage. Avez-vous au moins 18 ans et résidez-vous actuellement aux États-Unis ?</div>
QID1_Choice1	Sim
QID1_Choice2	Não
QID3_QuestionText	<div>Nas últimas 24 horas, <strong>você ou alguém do seu domicílio</strong> teve algum destes sintomas?</div>
QID3_Choice1	Febre (acima de 100 °F)
QID3_Choice2	Dor de garganta
QID3_Choice3	Tosse
QID3_Choice4	Falta de ar
QID3_Choice5	Dificuldade para respirar
QID3_Answer1	Sim
QID3_Answer2	Não
QID4_QuestionText	<div>Quantas pessoas no seu domicílio <b>(incluindo você)</b> estão <b>doentes</b> (com <b>febre</b> e <b>pelo menos um outro sintoma</b> da lista acima)?</div>
QID5_QuestionText	Quantas pessoas há no seu domicílio <b>no total (incluindo você)</b>?
QID6_QuestionText	<p>Qual é o seu código postal atual?</p>
QID45_QuestionText	Quantas pessoas <b>adicionais</b> na sua comunidade local que você conhece pessoalmente estão <b>doentes</b> (com <b>febre</b> e <b>pelo menos um outro sintoma</b> da lista acima)?
QID39_QuestionText	<i>O restante da pesquisa entrará em mais detalhes para entender melhor a sua experiência pessoal.</i><p></p><p><br></p><p><b>Nas últimas 24 horas</b>, <b>você pessoalmente</b> apresentou algum destes sintomas?  Selecione todas as opções que se aplicam.</p>
QID39_Choice1	Febre
QID39_Choice2	Tosse
QID39_Choice3	Falta de ar
QID39_Choice4	Dificuldade para respirar
QID39_Choice5	Cansaço ou exaustão
QID39_Choice6	Congestão nasal
QID39_Choice7	Coriza
QID39_Choice8	Dores musculares ou articulares
