QID1_QuestionText	<p>Esta pesquisa voluntária faz parte de um estudo conduzido pelo grupo Delphi na Universidade Carnegie Mellon. Mesmo se você está saudável, suas respostas podem contribuir para um melhor entendimento da saúde pública nos lugares aonde a pandemia de coronavírus está chegando e, assim, melhorar nossas respostas locais e nacionais. </p><br>Os dados capturados não incluem nenhuma informação de identificação pessoal sobre você, e suas respostas para todas as perguntas permanecerão confidenciais. Os resultados publicados serão agregados e não identificarão participantes individuais ou suas respostas.  Esse estudo não é conduzido pelo Facebook, e nenhuma resposta individual será compartilhada com o Facebook.  As únicas informações que recebemos do Facebook são um número de identificação aleatório e um número estatístico que nos ajudam a ponderar a participação adequadamente.  Suas respostas podem ser compartilhadas com outros pesquisadores de saúde pública, incluindo os da Universidade de Maryland. Não há riscos previsíveis em participar, e nenhuma remuneração é oferecida.<div><br>Em caso de dúvida, entre em contato pelo email delphi-admin-survey-fb@lists.andrew.cmu.edu </div><div><br>Para poder participar desta pesquisa, você precisa ter no mínimo 18 anos de idade e estar morando atualmente nos Estados Unidos. Você tem 18 anos de idade ou mais e está morando atualmente nos Estados Unidos?</div>
QID1_Choice1	Có
QID1_Choice2	Không
QID3_QuestionText	<div>Trong 24 giờ qua, <strong>bạn hoặc thành viên gia đình của bạn</strong> có bất kỳ triệu chứng nào sau đây không:</div>
QID3_Choice1	Sốt (từ 100°F trở lên)
QID3_Choice2	Đau họng
QID3_Choice3	Ho
QID3_Choice4	Thở ngắn
QID3_Choice5	Khó thở
QID3_Answer1	Rồi
QID3_Answer2	Không
QID4_QuestionText	<div>Hộ gia đình của bạn có bao nhiêu người <b>(bao gồm cả bạn)</b> đang <b>bị bệnh</b> (<b>sốt</b>, kèm theo <b>ít nhất một triệu chứng khác</b> có trong danh sách phía trên)?</div>
QID5_QuestionText	Hộ gia đình của bạn có <b>tổng cộng bao nhiêu người (tính cả bạn)</b>?
QID6_QuestionText	<p>Mã ZIP hiện tại của bạn là gì?</p>
QID45_QuestionText	Có bao nhiêu người <b>khác</b> sống tại cộng đồng địa phương mà bạn biết là đang <b>bị bệnh</b> (<b>sốt</b>, kèm theo <b>ít nhất một triệu chứng khác</b> có trong danh sách phía trên)?
QID39_QuestionText	<i>Phần còn lại của khảo sát sẽ đi vào chi tiết để hiểu rõ hơn về trải nghiệm của cá nhân bạn.</i><p></p><p><br></p><p><b>Trong 24 giờ qua</b>, <b>cá nhân bạn</b> có bất kỳ triệu chứng nào sau đây không?  (Chọn tất cả các đáp án phù hợp.)</p>
QID39_Choice1	Sốt
QID39_Choice2	Ho
QID39_Choice3	Thở ngắn
QID39_Choice4	Khó thở
QID39_Choice5	Mệt mỏi hoặc kiệt sức
QID39_Choice6	Ngạt mũi
QID39_Choice7	Sổ mũi
QID39_Choice8	Đau nhức cơ hoặc khớp
QID39_Choice9	Đau họng
QID39_Choice10	Đau hoặc tức ngực dai dẳng
QID39_Choice11	Chóng mặt hoặc buồn nôn
QID39_Choice12	Tiêu chảy
QID39_Choice13	Mất khứu giác hoặc vị giác
QID39_Choice14	Khác (vui lòng chỉ rõ):
QID39_Choice15	Không mục nào ở trên
QID39_Choice16	Đau mắt
QID11_QuestionText	Bạn có các triệu chứng này bao lâu rồi (tính bằng ngày)?
QID12_QuestionText	Bạn cho biết là mình bị sốt <b>trong 24 giờ qua</b>.  Bạn có đo thân nhiệt không?
QID12_Choice1	Rồi
QID12_Choice2	Không
QID42_QuestionText	<div>Thân nhiệt cao nhất của bạn là bao nhiêu (tính bằng °F)?</div>
QID13_QuestionText	Bạn cho biết là mình bị ho <b>trong 24 giờ qua</b>.  Bạn có ho ra đờm không?
QID13_Choice1	Có, tôi ho ra nhiều đờm
QID13_Choice2	        ➙Có, tôi ho ra ít đờm
QID13_Choice3	Không, tôi ho khan
QID14_QuestionText	Với tình trạng bệnh hiện tại, bạn đã được xét nghiệm COVID-19 (virus corona) chưa?
QID14_Choice1	Rồi, tôi đã xét nghiệm và nhận được kết quả dương tính với COVID-19
QID14_Choice2	Rồi, tôi đã xét nghiệm và nhận được kết quả âm tính với COVID-19
QID14_Choice3	Rồi, tôi đã xét nghiệm nhưng chưa nhận được kết quả
QID14_Choice4	Chưa, tôi đã yêu cầu nhưng không được xét nghiệm
QID14_Choice5	Chưa, tôi chưa yêu cầu xét nghiệm
QID15_QuestionText	<b>Trong 24 giờ qua</b>, bạn có đến bệnh viện để được chăm sóc cho tình hình bệnh hiện tại không?
QID15_Choice1	Có
QID15_Choice2	➙Không
QID15_Choice3	Tôi đã đến nhưng chưa được chăm sóc
QID40_QuestionText	<div>Bác sĩ, y tá hoặc chuyên gia y tế khác đã <span style="font-weight: bolder;">bao giờ</span> nói với bạn là bạn có bất kỳ tình trạng bệnh lý nào sau đây chưa?</div><div><br>(Vui lòng chọn tất cả các đáp án phù hợp)</div>
QID40_Choice1	Tiểu đường
QID40_Choice2	Ung thư (ngoài ung thư da)
QID40_Choice3	Bệnh tim
QID40_Choice4	Cao huyết áp
QID40_Choice5	Hen phế quản
QID40_Choice6	Bệnh phổi mãn tính như COPD hoặc khí thũng 
QID40_Choice7	Bệnh thận
QID40_Choice8	Rối loạn tự miễn dịch như viêm khớp dạng thấp hoặc bệnh Crohn
QID40_Choice9	Không mục nào ở trên
QID17_QuestionText	Bạn đã tiêm ngừa cúm trong 12 tháng qua chưa?
QID17_Choice1	Có
QID17_Choice2	Không
QID21_QuestionText	<p><b>Trong 5 ngày qua</b>, bạn có ra khỏi nhà để làm việc không?</p>
QID21_Choice1	Có
QID21_Choice2	Không
QID32_QuestionText	<p><b>Trong 5 ngày qua</b>, bạn có làm việc ở hay ghé thăm cơ sở chăm sóc dài hạn hoặc viện dưỡng lão nào không?</p>
QID32_Choice1	Có
QID32_Choice2	Không
